Version,2.0.5(2019/06/24)
Date,2019/10/21 16:43:07
Title,"Model20191021_001"
*** Response Spectrum Analysis ***,CASE000001
,Period       ,Vel-EL-CENTRO_NS,Vel-TAFT_EW  ,Vel-HACHINOHE_NS
            ,2.00000e-002,5.40086e-002,1.63185e-002,2.10775e-002
,2.12957e-002,9.60331e-002,3.08567e-002,3.54935e-002
,2.26754e-002,1.69266e-001,5.54261e-002,6.79695e-002
,2.41444e-002,2.33818e-001,6.98767e-002,8.04928e-002
,2.57087e-002,3.35093e-001,7.95677e-002,9.49895e-002
,2.73742e-002,4.13139e-001,8.43459e-002,9.08988e-002
,2.91477e-002,5.56141e-001,1.02678e-001,1.03497e-001
,3.10360e-002,6.23290e-001,1.08571e-001,1.36316e-001
,3.30467e-002,7.44097e-001,1.27603e-001,1.42512e-001
,3.51877e-002,1.04109e+000,1.36919e-001,1.72940e-001
,3.74674e-002,1.27038e+000,1.43071e-001,1.84376e-001
,3.98947e-002,1.39034e+000,1.52668e-001,2.30611e-001
,4.24794e-002,1.63162e+000,1.82282e-001,2.35484e-001
,4.52314e-002,1.86156e+000,2.44916e-001,2.84096e-001
,4.81618e-002,1.72620e+000,2.83630e-001,3.15273e-001
,5.12820e-002,1.87668e+000,3.51728e-001,3.25694e-001
,5.46043e-002,2.19034e+000,3.88345e-001,4.38585e-001
,5.81419e-002,2.55010e+000,3.99991e-001,5.07450e-001
,6.19087e-002,3.20351e+000,4.71149e-001,4.58081e-001
,6.59195e-002,3.04555e+000,6.04334e-001,4.86497e-001
,7.01902e-002,3.01605e+000,6.62598e-001,5.89800e-001
,7.47375e-002,3.23464e+000,8.56611e-001,8.10381e-001
,7.95795e-002,4.63694e+000,1.22143e+000,1.05280e+000
,8.47351e-002,5.15293e+000,1.56037e+000,1.41945e+000
,9.02248e-002,4.95895e+000,1.91282e+000,1.30526e+000
,9.60701e-002,5.23018e+000,1.64824e+000,1.45190e+000
,1.02294e-001,6.19536e+000,2.00443e+000,2.12382e+000
,1.08921e-001,6.51378e+000,2.40818e+000,2.41447e+000
,1.15978e-001,7.93410e+000,2.88748e+000,2.41675e+000
,1.23492e-001,1.03924e+001,3.29651e+000,2.87172e+000
,1.31492e-001,1.27765e+001,4.52826e+000,3.67758e+000
,1.40011e-001,1.21085e+001,5.16573e+000,5.21595e+000
,1.49082e-001,1.21082e+001,5.85783e+000,5.78482e+000
,1.58740e-001,1.07824e+001,7.28252e+000,6.27968e+000
,1.69024e-001,1.73235e+001,9.55645e+000,6.81527e+000
,1.79975e-001,1.78341e+001,9.94525e+000,8.54774e+000
,1.91634e-001,1.66118e+001,1.00934e+001,9.59048e+000
,2.04050e-001,1.83607e+001,1.19426e+001,1.52874e+001
,2.17269e-001,2.04308e+001,1.42829e+001,2.06305e+001
,2.31345e-001,2.42127e+001,1.40648e+001,2.06344e+001
,2.46333e-001,3.21771e+001,1.29916e+001,1.79784e+001
,2.62292e-001,3.52210e+001,1.47983e+001,1.63600e+001
,2.79285e-001,3.37524e+001,1.57699e+001,1.91780e+001
,2.97379e-001,3.28884e+001,1.58895e+001,2.52457e+001
,3.16645e-001,3.28392e+001,2.05120e+001,3.16163e+001
,3.37159e-001,3.32155e+001,2.57126e+001,3.95668e+001
,3.59002e-001,3.50069e+001,2.19810e+001,4.20745e+001
,3.82260e-001,4.11059e+001,1.94586e+001,3.67858e+001
,4.07025e-001,3.70744e+001,2.56687e+001,3.42930e+001
,4.33395e-001,4.29572e+001,3.97495e+001,3.42062e+001
,4.61473e-001,5.45903e+001,3.53796e+001,3.57250e+001
,4.91370e-001,6.66730e+001,2.80951e+001,2.71565e+001
,5.23204e-001,7.65763e+001,2.67514e+001,2.46012e+001
,5.57100e-001,8.02460e+001,2.56525e+001,2.84587e+001
,5.93192e-001,7.78807e+001,2.81826e+001,3.52330e+001
,6.31623e-001,7.06125e+001,2.80539e+001,3.60135e+001
,6.72543e-001,6.88763e+001,2.94068e+001,3.69582e+001
,7.16114e-001,6.85707e+001,2.78510e+001,4.36657e+001
,7.62509e-001,6.81024e+001,3.10829e+001,4.91840e+001
,8.11908e-001,6.64179e+001,3.91606e+001,5.38395e+001
,8.64509e-001,7.82770e+001,4.00289e+001,5.43353e+001
,9.20517e-001,8.16626e+001,3.41332e+001,4.99414e+001
,9.80153e-001,9.24858e+001,3.04364e+001,4.96341e+001
,1.04365e+000,7.88398e+001,2.76946e+001,5.45912e+001
,1.11127e+000,6.60419e+001,2.78835e+001,4.67366e+001
,1.18326e+000,6.62832e+001,2.85439e+001,4.97273e+001
,1.25992e+000,5.94763e+001,2.96639e+001,4.69801e+001
,1.34155e+000,4.80157e+001,3.07303e+001,4.20473e+001
,1.42846e+000,4.57011e+001,3.12740e+001,3.37185e+001
,1.52100e+000,4.77804e+001,3.53895e+001,2.74793e+001
,1.61954e+000,5.25912e+001,4.08130e+001,3.15718e+001
,1.72447e+000,5.26232e+001,4.44579e+001,3.64166e+001
,1.83619e+000,5.28250e+001,3.90447e+001,4.12070e+001
,1.95515e+000,5.63147e+001,3.66183e+001,5.52593e+001
,2.08181e+000,6.13411e+001,2.76767e+001,5.25836e+001
,2.21669e+000,6.76232e+001,2.95062e+001,5.41217e+001
,2.36030e+000,6.78591e+001,2.88727e+001,6.83657e+001
,2.51321e+000,7.50135e+001,2.65612e+001,9.31171e+001
,2.67603e+000,8.06344e+001,2.56229e+001,1.04980e+002
,2.84940e+000,7.90003e+001,2.67136e+001,8.56278e+001
,3.03400e+000,7.13694e+001,3.18636e+001,7.28991e+001
,3.23056e+000,6.60846e+001,3.33272e+001,6.86054e+001
,3.43986e+000,6.31042e+001,3.11041e+001,5.73406e+001
,3.66271e+000,5.85102e+001,2.80633e+001,5.07235e+001
,3.90000e+000,5.30505e+001,2.80935e+001,4.53866e+001
,4.15267e+000,4.74010e+001,2.66763e+001,4.15374e+001
,4.42171e+000,4.20999e+001,2.43390e+001,3.77259e+001
,4.70817e+000,3.77210e+001,2.19494e+001,3.83786e+001
,5.01319e+000,3.51133e+001,2.19380e+001,3.84882e+001
,5.33798e+000,3.58180e+001,2.18648e+001,3.89336e+001
,5.68380e+000,3.63833e+001,2.21986e+001,3.96525e+001
,6.05203e+000,3.68315e+001,2.15774e+001,3.98623e+001
,6.44412e+000,3.71827e+001,2.19308e+001,3.91613e+001
,6.86161e+000,3.74546e+001,2.63812e+001,3.79443e+001
,7.30615e+000,3.76623e+001,2.64783e+001,3.69494e+001
,7.77948e+000,3.78187e+001,2.14321e+001,3.66575e+001
,8.28348e+000,3.79344e+001,2.05332e+001,3.70642e+001
,8.82014e+000,3.80183e+001,2.70375e+001,3.78267e+001
,9.39156e+000,3.80774e+001,2.85463e+001,3.85369e+001
,1.00000e+001,3.81176e+001,2.29559e+001,3.89173e+001
